iter	Logloss
0	0.671671508
1	0.649884498
2	0.6295073959
3	0.6115229812
4	0.5952280586
5	0.5809141516
6	0.5686060856
7	0.5571919871
8	0.547493532
9	0.5388526154
10	0.5311034824
11	0.5242240489
12	0.5186366754
13	0.5133464529
14	0.5079990242
15	0.5025518352
16	0.4980795246
17	0.4937749339
18	0.4901376786
19	0.4865416484
20	0.4834069311
21	0.4806705188
22	0.477600474
23	0.4748823933
24	0.4726436471
25	0.4701324529
26	0.4678844841
27	0.4661546243
28	0.4637324769
29	0.4617988018
30	0.4596409013
31	0.4572900296
32	0.4558276406
33	0.4545016626
34	0.4531136631
35	0.451864829
36	0.4497134321
37	0.4487058575
38	0.4472639659
39	0.44559184
40	0.4446294639
41	0.4429864505
42	0.4420698034
43	0.4410721414
44	0.4397243229
45	0.438357276
46	0.43759722
47	0.4366593633
48	0.4356113072
49	0.4346895264
50	0.4336324971
51	0.4323608003
52	0.4319342342
53	0.4310767377
54	0.4299966852
55	0.429212774
56	0.4285588762
57	0.4278458628
58	0.4274972087
59	0.4266764297
60	0.425877775
61	0.4246365711
62	0.4241597008
63	0.4236425821
64	0.4228561606
65	0.4222676419
66	0.4205930553
67	0.420056852
68	0.4196705112
69	0.4192414815
70	0.4187209953
71	0.4182521781
72	0.4181656413
73	0.4172935257
74	0.4166466277
75	0.4161027467
76	0.4155790316
77	0.4148223152
78	0.4141825241
79	0.4138450231
80	0.4133194803
81	0.4128098676
82	0.4124870597
83	0.4118426258
84	0.4116607572
85	0.4113328518
86	0.4110564611
87	0.410319408
88	0.4100590581
89	0.4097135968
90	0.4091737408
91	0.4085338547
92	0.4081217727
93	0.4076508912
94	0.4070522013
95	0.4061399065
96	0.4055927199
97	0.4052677047
98	0.4048017831
99	0.4044723721
100	0.4044290598
101	0.4041504089
102	0.404080998
103	0.4032171465
104	0.4029356527
105	0.4026043767
106	0.402080582
107	0.4013893115
108	0.4013048504
109	0.4008419033
110	0.4006025537
111	0.4002226939
112	0.3999980521
113	0.3998989733
114	0.3997515249
115	0.3990670829
116	0.3986167303
117	0.3981418421
118	0.3980152788
119	0.3978181274
120	0.3976114506
121	0.3972198374
122	0.3967994535
123	0.3961320945
124	0.3960497331
125	0.3959795744
126	0.3956681692
127	0.3953861158
128	0.3943513564
129	0.3942233182
130	0.3939493485
131	0.3934649076
132	0.393146165
133	0.3923388181
134	0.3921918901
135	0.3918023876
136	0.3914493222
137	0.3912162324
138	0.3909512455
139	0.3903458131
140	0.3897971258
141	0.3892842019
142	0.3887817867
143	0.388347492
144	0.3881026793
145	0.3875457255
146	0.3870857848
147	0.3866232234
148	0.3863065335
149	0.3862841286
150	0.3862192929
151	0.3855345528
152	0.3852844238
153	0.38493161
154	0.3847545035
155	0.3846785926
156	0.3842980692
157	0.3839309625
158	0.3837855563
159	0.3835345072
160	0.383225945
161	0.3830580087
162	0.3828516901
163	0.3826253698
164	0.3825547753
165	0.3823854893
166	0.3821228807
167	0.381939498
168	0.3818752584
169	0.3815892247
170	0.3808302792
171	0.3806665809
172	0.3805469876
173	0.3803278444
174	0.3800833895
175	0.379845353
176	0.3798259417
177	0.3795306309
178	0.3794742616
179	0.379360546
180	0.3791999445
181	0.3787726912
182	0.3785849561
183	0.3784370063
184	0.3781965179
185	0.3778477652
186	0.3776436313
187	0.3775416166
188	0.3773780214
189	0.3772558835
190	0.3771462522
191	0.3768190618
192	0.3765924075
193	0.3764993326
194	0.3764125382
195	0.376011581
196	0.3758772211
197	0.3757221222
198	0.3755740826
199	0.3753670899
200	0.375234517
201	0.3750429848
202	0.374819032
203	0.3747503914
204	0.3741218949
205	0.3740969687
206	0.3740453627
207	0.373785161
208	0.3730560152
209	0.3727484617
210	0.3725763109
211	0.3724406151
212	0.3722529132
213	0.3719317672
214	0.3716928237
215	0.3716137975
216	0.3713749188
217	0.3711729796
218	0.3709691734
219	0.3707188591
220	0.3703266044
221	0.3700457065
222	0.3697326269
223	0.3697274352
224	0.3695795164
225	0.3693904386
226	0.3692348
227	0.3682547109
228	0.3680279838
229	0.3678277285
230	0.3677206195
231	0.3676121714
232	0.3675783952
233	0.3671013988
234	0.3668195389
235	0.3664948615
236	0.3662852412
237	0.3661766345
238	0.3659302991
239	0.3657106983
240	0.3655075817
241	0.3651981607
242	0.3648223824
243	0.3646388673
244	0.3638680236
245	0.3636341615
246	0.3632150227
247	0.3629875132
248	0.3627282487
249	0.3624178201
250	0.3622186315
251	0.3621690111
252	0.3616864887
253	0.3612397854
254	0.3610176461
255	0.3609512471
256	0.3606229955
257	0.3602102695
258	0.3599890067
259	0.3597411237
260	0.359448384
261	0.3590852492
262	0.3586193892
263	0.3580074965
264	0.3574085102
265	0.3567333043
266	0.3564157218
267	0.3561023025
268	0.3558710125
269	0.3555500523
270	0.3550386678
271	0.3547561008
272	0.3539663868
273	0.3535233408
274	0.3532167678
275	0.3529588255
276	0.3527867708
277	0.3524754473
278	0.3517400954
279	0.3514348414
280	0.351207338
281	0.3506287688
282	0.3504723184
283	0.3500789772
284	0.3497991926
285	0.3494899703
286	0.3490535488
287	0.3487349722
288	0.348533697
289	0.3482756201
290	0.3480014564
291	0.347603964
292	0.3473403777
293	0.3468921668
294	0.3466130195
295	0.3464282676
296	0.3460764248
297	0.3459599809
298	0.3456598769
299	0.3454186317
300	0.3451779791
301	0.3449697776
302	0.3447207388
303	0.3445131422
304	0.3439409038
305	0.3435317038
306	0.3433165852
307	0.3430946901
308	0.3428975382
309	0.3427258238
310	0.342019908
311	0.3417316204
312	0.341241003
313	0.3410234073
314	0.340507365
315	0.3400394901
316	0.3396444669
317	0.339303445
318	0.3390384292
319	0.3388604341
320	0.3385140534
321	0.3381671227
322	0.3376244172
323	0.3374147357
324	0.3370493325
325	0.3365612831
326	0.3363344681
327	0.3360502451
328	0.3357242856
329	0.3353471413
330	0.3349365787
331	0.3346843555
332	0.334339598
333	0.3340682968
334	0.3339196248
335	0.3337499091
336	0.3335407311
337	0.3332635502
338	0.3330636404
339	0.3327565353
340	0.3324618123
341	0.3322161527
342	0.3319741715
343	0.3318240189
344	0.3315731185
345	0.3313133899
346	0.3310810709
347	0.3306669704
348	0.3304406324
349	0.3301583149
350	0.3300638842
351	0.3298486912
352	0.3296005015
