iter	Passed	Remaining
0	162	161858
1	330	164753
2	497	165419
3	698	173901
4	895	178161
5	1097	181823
6	1297	184046
7	1539	190879
8	1761	193916
9	1981	196209
10	2209	198610
11	2448	201619
12	2701	205069
13	2945	207449
14	3220	211454
15	3468	213300
16	3756	217209
17	3979	217114
18	4194	216579
19	4402	215721
20	4628	215772
21	4889	217346
22	5097	216530
23	5347	217480
24	5550	216459
25	5738	214966
26	6027	217206
27	6293	218478
28	6530	218658
29	6798	219827
30	7025	219597
31	7256	219511
32	7483	219279
33	7691	218523
34	7916	218261
35	8169	218756
36	8403	218710
37	8615	218100
38	8829	217562
39	9058	217411
40	9287	217240
41	9521	217189
42	9767	217394
43	9987	217011
44	10218	216854
45	10436	216452
46	10665	216254
47	10903	216247
48	11125	215923
49	11352	215689
50	11598	215823
51	11813	215363
52	11990	214247
53	12235	214353
54	12466	214202
55	12712	214295
56	12916	213681
57	13151	213605
58	13382	213438
59	13605	213145
60	13882	213700
61	14137	213890
62	14392	214054
63	14668	214524
64	14925	214691
65	15169	214672
66	15435	214948
67	15697	215146
68	15933	214989
69	16155	214635
70	16408	214692
71	16608	214063
72	16726	212407
73	16954	212159
74	17195	212071
75	17447	212119
76	17659	211682
77	17887	211440
78	18111	211151
79	18310	210566
80	18560	210577
81	18780	210250
82	19012	210050
83	19218	209569
84	19443	209306
85	19645	208790
86	19856	208376
87	20096	208269
88	20318	207978
89	20528	207568
90	20739	207171
91	20981	207075
92	21221	206967
93	21449	206735
94	21662	206359
95	21914	206360
96	22125	205969
97	22337	205598
98	22567	205389
99	22799	205191
100	22932	204124
101	23174	204027
102	23316	203053
103	23542	202831
104	23801	202875
105	24052	202861
106	24295	202765
107	24563	202873
108	24797	202699
109	25037	202575
110	25290	202554
111	25540	202502
112	25826	202725
113	26086	202745
114	26308	202459
115	26541	202265
116	26793	202207
117	27050	202188
118	27309	202185
119	27513	201767
120	27729	201436
121	27958	201209
122	28215	201180
123	28474	201159
124	28607	200254
125	28864	200218
126	29128	200228
127	29371	200091
128	29600	199863
129	29827	199613
130	30050	199343
131	30265	199020
132	30486	198734
133	30728	198587
134	30944	198273
135	31192	198165
136	31480	198301
137	31748	198313
138	32015	198309
139	32289	198347
140	32580	198485
141	32839	198426
142	33079	198244
143	33345	198223
144	33592	198078
145	33864	198084
146	34092	197830
147	34345	197717
148	34602	197627
149	34727	196791
150	34852	195957
151	35103	195840
152	35350	195696
153	35600	195571
154	35842	195401
155	36090	195257
156	36361	195239
157	36635	195233
158	36883	195088
159	37102	194785
160	37315	194457
161	37540	194188
162	37775	193975
163	38010	193762
164	38249	193567
165	38464	193250
166	38694	193010
167	38888	192590
168	39093	192230
169	39283	191797
170	39472	191358
171	39687	191052
172	39899	190735
173	40092	190323
174	40295	189966
175	40497	189600
176	40619	188869
177	40835	188577
178	41009	188094
179	41260	187963
180	41475	187670
181	41681	187336
182	41907	187094
183	42138	186874
184	42341	186532
185	42532	186138
186	42752	185869
187	42946	185493
188	43151	185162
189	43393	184993
190	43592	184638
191	43830	184451
192	44062	184242
193	44305	184072
194	44539	183870
195	44779	183687
196	44990	183388
197	45253	183297
198	45504	183162
199	45700	182802
200	45895	182440
201	46117	182186
202	46355	181997
203	46562	181685
204	46761	181342
205	46865	180635
206	46997	180041
207	47217	179790
208	47408	179426
209	47612	179112
210	47816	178801
211	48030	178527
212	48270	178350
213	48506	178160
214	48735	177939
215	48932	177607
216	49149	177345
217	49362	177071
218	49584	176829
219	49804	176579
220	50064	176471
221	50286	176228
222	50512	176002
223	50638	175427
224	50863	175195
225	51081	174942
226	51303	174704
227	51502	174384
228	51701	174069
229	51930	173853
230	52160	173642
231	52347	173287
232	52568	173046
233	52806	172863
234	53021	172603
235	53264	172431
236	53488	172202
237	53723	172005
238	53984	171893
239	54269	171854
240	54534	171750
241	54780	171584
242	55022	171408
243	55267	171238
244	55568	171240
245	55806	171050
246	56054	170887
247	56311	170750
248	56597	170702
249	56842	170527
250	57083	170339
251	57340	170200
252	57598	170062
253	57841	169881
254	58142	169867
255	58445	169857
256	58700	169705
257	58966	169587
258	59229	169456
259	59471	169265
260	59724	169105
261	59956	168886
262	60216	168743
263	60464	168566
264	60718	168408
265	60952	168192
266	61215	168055
267	61437	167805
268	61654	167544
269	61886	167321
270	62141	167162
271	62387	166979
272	62658	166859
273	62890	166638
274	63145	166474
275	63401	166314
276	63697	166258
277	63927	166027
278	64185	165870
279	64448	165724
280	64685	165512
281	64961	165397
282	65201	165192
283	65484	165094
284	65746	164942
285	65987	164738
286	66235	164550
287	66497	164396
288	66747	164211
289	66987	164002
290	67262	163879
291	67492	163646
292	67764	163512
293	68025	163354
294	68256	163122
295	68496	162910
296	68770	162780
297	69018	162586
298	69271	162406
299	69529	162235
300	69755	161990
301	69978	161738
302	70206	161497
303	70425	161237
304	70694	161090
305	70946	160905
306	71188	160695
307	71427	160481
308	71708	160356
309	71970	160193
310	72212	159980
311	72464	159793
312	72708	159587
313	72952	159380
314	73209	159201
315	73464	159018
316	73715	158825
317	73984	158671
318	74247	158504
319	74477	158265
320	74726	158066
321	74938	157790
322	75201	157621
323	75492	157509
324	75746	157320
325	76011	157152
326	76256	156943
327	76482	156695
328	76759	156552
329	77050	156435
330	77329	156294
331	77573	156081
332	77833	155901
333	78073	155678
334	78328	155488
335	78610	155350
336	78895	155215
337	79204	155127
338	79501	155016
339	79772	154852
340	80037	154677
341	80319	154533
